Representative ACT-Guided prompts used in ACT-ChatGPT aligned with the six core ACT Processes		,,
,,
Core Process,Theme,Prompt Content
"1. Acceptance: Embracing all aspects of human experience, whether positive or negative.",Why should we practice acceptance?,Please explain the “Tug of War with a Monster” metaphor used in Acceptance and Commitment Therapy. (Answer within 100 words)
,,"I am currently undergoing life reconstruction after a spinal cord injury, including physical training, strength training, and daily living training. Please provide two questions to help me examine whether I am struggling against my internal feelings. (Each question within 50 words)"
,,What is the meaning of accepting the existence of the “monster”? (Answer within 100 words)
,Distinguishing emotions,Please provide examples of situations in which individuals with spinal cord injury may experience “clean” emotions (direct sensory experiences of an event) and “muddy” emotions (excessive judgment about an event) in ACT. (Each answer within 100 words)
,,Why is it important to learn to distinguish between “clean” and “muddy” emotions? (Answer within 5 lines)
,,Please list four scenarios—without telling me the answers directly—to test whether I can distinguish between “clean” emotions (direct sensory experiences) and “muddy” emotions (judgment-laden reactions). (Each scenario within 50 words)
,,"If muddy emotions occur, what should I do? Please provide a brief example."
,Control is not always useful,Tell me the “Polygraph metaphor” in Acceptance and Commitment Therapy. Why is controlling anxiety ineffective? (Answer within 100 words)
,,Please provide two questions to help me evaluate whether the “Polygraph metaphor” applies to my situation during physical training after spinal cord injury. (Answer within 4 lines)
,,How can I avoid being influenced by anxiety?
,,Please summarize my performance in today's responses about “acceptance” to help me better understand acceptance. (Answer within 100 words)
2. Cognitive Defusion: Viewing thoughts as experiences rather than attempting to change their frequency or content.,Understanding Cognitive Defusion,Please give an example explaining what “cognitive defusion” means in ACT and how it is practiced. (Answer within 100 words)
,Stepping Outside the Framework of Language,"Using a short story, explain why ACT encourages people not to view experiences solely through “language.” (Answer within 100 words)"
,,Please propose one question that helps me examine whether I tend to rely on “language” to interpret things in my daily life.
,Descriptive vs. Evaluative Language Practice,What are “description” and “evaluation” in ACT? Please explain with an example. (Within 100 words)
,,Please provide examples of common descriptions and evaluations that appear frequently in daily life. (Within 100 words)
,,Provide four single-sentence questions to test my ability to distinguish between evaluation and description.
,Experiential Exercise – Passengers on the Bus,Please give an example to explain the “Passengers on the Bus” exercise in ACT. (Answer within 100 words)
,,Provide an example to illustrate how I should describe each “passenger.” (Use bullet points; within 100 words)
